Time,Open,High,Low,Last,Change,Volume
10/02/2013,120.74,120.74,119.46,120.06,-12.97,226915
10/01/2013,133.5,133.5,132.42,133.03,-0.86,22719
09/30/2013,134.09,134.42,133.33,133.89,0.57,28515
09/27/2013,132.99,133.9,132.99,133.32,1.87,33383
09/26/2013,131.09,132.24,131.09,131.45,2.7,34039
09/25/2013,128.47,129.15,128.47,128.75,0.57,16531
09/24/2013,127.92,128.32,127.92,128.18,1.87,27632
09/23/2013,126.49,126.49,126.09,126.31,-1.93,17559
09/20/2013,128.61,128.61,127.37,128.24,-0.38,22851
09/19/2013,128.62,128.62,128.62,128.62,-2.59,41563
09/18/2013,131.21,131.21,131.21,131.21,-0.35,26712
09/17/2013,132.08,132.13,131.24,131.56,-0.52,24564
09/16/2013,131.83,132.44,131.83,132.08,2.95,22775
09/13/2013,129.52,129.52,128.91,129.13,-6.39,20950
09/12/2013,135.26,136.02,135.26,135.52,0.99,38312
09/11/2013,134.21,134.89,134.21,134.53,3.84,50671
09/10/2013,130.08,131.16,130.08,130.69,3.75,53158
09/09/2013,126.59,127.65,126.11,126.94,2.72,25355
09/06/2013,123.85,124.6,123.85,124.22,3.87,33378
09/05/2013,120.35,120.35,120.35,120.35,-8.93,44793
09/04/2013,131.11,131.11,128,129.28,-4.77,85411
09/03/2013,134.05,134.05,134.05,134.05,-2.37,19438
09/02/2013,136.42,136.42,136.42,136.42,4.94,22803
08/30/2013,131.48,131.48,131.48,131.48,9.05,67462
08/29/2013,122.43,122.43,122.43,122.43,-0.89,18866
08/28/2013,123.32,123.32,123.32,123.32,-0.72,24816
08/27/2013,124.04,124.04,124.04,124.04,8.51,77801
08/26/2013,115.53,115.53,115.53,115.53,1.21,23950
08/23/2013,114.32,114.32,114.32,114.32,-1.38,31222
08/22/2013,115.7,115.7,115.7,115.7,0.5,28464
08/21/2013,115.2,115.2,115.2,115.2,1.06,59211
08/20/2013,114.14,114.14,114.14,114.14,1.23,37159
08/19/2013,112.91,112.91,112.91,112.91,8.92,76344
08/16/2013,103.99,103.99,103.99,103.99,-1.29,23847
08/15/2013,105.28,105.28,105.28,105.28,-2.93,26918
08/14/2013,108.21,108.21,108.21,108.21,6,72481
08/13/2013,102.21,102.21,102.21,102.21,0.17,33031
08/12/2013,102.04,102.04,102.04,102.04,4.53,29122
08/09/2013,97.51,97.51,97.51,97.51,-1.72,25122
08/08/2013,99.23,99.23,99.23,99.23,-1.59,43339
08/07/2013,100.82,100.82,100.82,100.82,-1.29,16722
08/06/2013,102.11,102.11,102.11,102.11,0.2,24456
08/05/2013,101.91,101.91,101.91,101.91,0.58,28472
08/02/2013,101.33,101.33,101.33,101.33,-0.13,46420
08/01/2013,101.46,101.46,101.46,101.46,-3.02,25062
07/31/2013,104.48,104.48,104.48,104.48,4.33,69415
07/30/2013,100.15,100.15,100.15,100.15,2.65,42967
07/29/2013,97.5,97.5,97.5,97.5,4.37,38701
07/26/2013,93.13,93.13,93.13,93.13,-0.27,20569
07/25/2013,93.4,93.4,93.4,93.4,2.33,35791
07/24/2013,91.07,91.07,91.07,91.07,0.17,25688
07/23/2013,90.9,90.9,90.9,90.9,2.57,40823
07/22/2013,88.33,88.33,88.33,88.33,-1.32,18289
07/19/2013,89.65,89.65,89.65,89.65,1.34,38601
07/18/2013,88.31,88.31,88.31,88.31,-7.01,87346
07/17/2013,95.32,95.32,95.32,95.32,0.12,27263
07/16/2013,95.2,95.2,95.2,95.2,-1.31,28744
07/15/2013,96.51,96.51,96.51,96.51,1.44,52065
07/12/2013,95.07,95.07,95.07,95.07,8.66,147429
07/11/2013,86.41,86.41,86.41,86.41,5.32,59485
07/10/2013,81.09,81.09,81.09,81.09,6.6,96023
07/09/2013,74.49,74.49,74.49,74.49,-1.51,54474
07/08/2013,76,76,76,76,5.18,86389
07/05/2013,70.82,70.82,70.82,70.82,-7.08,140693
07/04/2013,77.9,77.9,77.9,77.9,-4.85,98696
07/03/2013,82.75,82.75,82.75,82.75,-5.38,103434
07/02/2013,88.13,88.13,88.13,88.13,-0.9,45901
07/01/2013,89.03,89.03,89.03,89.03,-6.03,85699
06/28/2013,95.06,95.06,95.06,95.06,-5.53,72399
06/27/2013,100.59,100.59,100.59,100.59,-1.68,21457
06/26/2013,102.27,102.27,102.27,102.27,-1.38,19090
06/25/2013,103.65,103.65,103.65,103.65,2.3,103867
06/24/2013,101.35,101.35,101.35,101.35,-6.78,45261
06/21/2013,108.13,108.13,108.13,108.13,-1.91,56817
06/20/2013,110.04,110.04,110.04,110.04,3.09,56289
06/19/2013,106.95,106.95,106.95,106.95,0.08,27100
06/18/2013,106.87,106.87,106.87,106.87,6.15,78857
06/17/2013,100.72,100.72,100.72,100.72,0.18,21985
06/14/2013,100.54,100.54,100.54,100.54,-4.54,51766
06/13/2013,105.08,105.08,105.08,105.08,-3.77,43701
06/12/2013,108.85,108.85,108.85,108.85,2.02,29366
06/11/2013,106.83,106.83,106.83,106.83,2.15,24966
06/10/2013,104.68,104.68,104.68,104.68,-7.67,85068
06/07/2013,112.35,112.35,112.35,112.35,-7.38,92400
06/06/2013,119.73,119.73,119.73,119.73,-1.38,28976
06/05/2013,121.11,121.11,121.11,121.11,0.21,24406
06/04/2013,120.9,120.9,120.9,120.9,1.78,33316
06/03/2013,119.12,119.12,119.12,119.12,-8.83,42773
05/31/2013,127.95,127.95,127.95,127.95,-1.16,24091
05/30/2013,129.11,129.11,129.11,129.11,-0.26,37664
05/29/2013,129.37,129.37,129.37,129.37,2.19,32148
05/28/2013,127.18,127.18,127.18,127.18,-1.76,32155
05/27/2013,128.94,128.94,128.94,128.94,0.14,59003
05/24/2013,128.8,128.8,128.8,128.8,5.25,68706
05/23/2013,123.55,123.55,123.55,123.55,2.59,35216
05/22/2013,120.96,120.96,120.96,120.96,0.9,29565
05/21/2013,120.06,120.06,120.06,120.06,-0.41,20874
05/20/2013,120.47,120.47,120.47,120.47,0.57,24288
05/17/2013,119.9,119.9,119.9,119.9,5.67,97046
05/16/2013,114.23,114.23,114.23,114.23,4.63,56915
05/15/2013,109.6,109.6,109.6,109.6,-4.73,141462
05/14/2013,114.33,114.33,114.33,114.33,-2.01,107437
05/13/2013,116.34,116.34,116.34,116.34,-0.96,34114
05/10/2013,117.3,117.3,117.3,117.3,6.15,96381
05/09/2013,111.15,111.15,111.15,111.15,-1.79,37594
05/08/2013,112.94,112.94,112.94,112.94,6.31,77524
05/07/2013,106.63,106.63,106.63,106.63,-10.4,171518
05/06/2013,117.03,117.03,117.03,117.03,25.68,183630
05/03/2013,91.35,91.35,91.35,91.35,-15.3,306216
05/02/2013,106.65,106.65,106.65,106.65,-14.22,287745
05/01/2013,120.87,120.87,120.87,120.87,-18.11,225294
04/30/2013,138.98,138.98,138.98,138.98,-2.05,82895
04/29/2013,141.03,141.03,141.03,141.03,9.28,91372
04/26/2013,131.75,131.75,131.75,131.75,-10.86,156198
04/25/2013,142.61,142.61,142.61,142.61,-7.8,225732
04/24/2013,150.41,150.41,150.41,150.41,17.56,275136
04/23/2013,132.85,132.85,132.85,132.85,10.9,143729
04/22/2013,121.95,121.95,121.95,121.95,3.49,74865
04/19/2013,118.46,118.46,118.46,118.46,21.68,315049
04/18/2013,96.78,96.78,96.78,96.78,11.93,208773
04/17/2013,84.85,84.85,84.85,84.85,19.46,396387
04/16/2013,65.39,65.39,65.39,65.39,-21.52,668550
04/15/2013,86.91,86.91,86.91,86.91,2.32,286923
04/12/2013,84.59,84.59,84.59,84.59,-47.36,659350
04/11/2013,131.95,131.95,131.95,131.95,-49.71,218887
04/10/2013,181.66,181.66,181.66,181.66,-32.06,257544
04/09/2013,213.72,213.72,213.72,213.72,33.33,127332
04/08/2013,180.39,180.39,180.39,180.39,41.96,139434
04/05/2013,138.43,138.43,138.43,138.43,7.36,83916
04/04/2013,131.07,131.07,131.07,131.07,3.21,102389
04/03/2013,127.86,127.86,127.86,127.86,20.6,186716
04/02/2013,107.26,107.26,107.26,107.26,7.73,98948
04/01/2013,99.53,99.53,99.53,99.53,10.72,106953
03/29/2013,88.81,88.81,88.81,88.81,1.32,92720
03/28/2013,87.49,87.49,87.49,87.49,2.63,160137
03/27/2013,84.86,84.86,84.86,84.86,7.63,83383
03/26/2013,77.23,77.23,77.23,77.23,3.21,67195
03/25/2013,74.02,74.02,74.02,74.02,3.57,91674
03/22/2013,70.45,70.45,70.45,70.45,1.56,83402
03/21/2013,68.89,68.89,68.89,68.89,7.04,111904
03/20/2013,61.85,61.85,61.85,61.85,6.72,105619
03/19/2013,55.13,55.13,55.13,55.13,6.5,129662
03/18/2013,48.63,48.63,48.63,48.63,1.95,77089
03/15/2013,46.68,46.68,46.68,46.68,-0.4,23821
03/14/2013,47.08,47.08,47.08,47.08,0.92,43658
03/13/2013,46.16,46.16,46.16,46.16,2.51,57817
03/12/2013,43.65,43.65,43.65,43.65,-3.76,201143
03/11/2013,47.41,47.41,47.41,47.41,4.33,48475
03/08/2013,43.08,43.08,43.08,43.08,2.21,52732
03/07/2013,40.87,40.87,40.87,40.87,-4.31,178462
03/06/2013,45.18,45.18,45.18,45.18,5.9,141610
03/05/2013,39.28,39.28,39.28,39.28,3.99,95429
03/04/2013,35.29,35.29,35.29,35.29,1.1,57205
03/01/2013,34.19,34.19,34.19,34.19,1.52,45366
02/28/2013,32.67,32.67,32.67,32.67,1.59,138126
02/27/2013,31.08,31.08,31.08,31.08,0.13,37888
02/26/2013,30.95,30.95,30.95,30.95,0.91,49486
02/25/2013,30.04,30.04,30.04,30.04,-0.4,29654
02/22/2013,30.44,30.44,30.44,30.44,0.76,76380
02/21/2013,29.68,29.68,29.68,29.68,0.21,40154
02/20/2013,29.47,29.47,29.47,29.47,1.29,42610
02/19/2013,28.18,28.18,28.18,28.18,1.45,112748
02/18/2013,26.73,26.73,26.73,26.73,-0.22,34430
02/15/2013,26.95,26.95,26.95,26.95,1.54,58500
02/14/2013,25.41,25.41,25.41,25.41,-0.06,162322
02/13/2013,25.47,25.47,25.47,25.47,0.41,97712
02/12/2013,25.06,25.06,25.06,25.06,1.02,86861
02/11/2013,24.04,24.04,24.04,24.04,1.64,35955
02/08/2013,22.4,22.4,22.4,22.4,0.85,53217
02/07/2013,21.55,21.55,21.55,21.55,0.51,73906
02/06/2013,21.04,21.04,21.04,21.04,0.51,59689
02/05/2013,20.53,20.53,20.53,20.53,0.12,33856
02/04/2013,20.41,20.41,20.41,20.41,-0.29,58736
02/01/2013,20.7,20.7,20.7,20.7,0.17,56242
01/31/2013,20.53,20.53,20.53,20.53,1.1,110064
01/30/2013,19.43,19.43,19.43,19.43,0.29,50810
01/29/2013,19.14,19.14,19.14,19.14,0.85,98624
01/28/2013,18.29,18.29,18.29,18.29,1.6,66003
01/25/2013,16.69,16.69,16.69,16.69,-1.08,89205
01/24/2013,17.77,17.77,17.77,17.77,0.57,196389
01/23/2013,17.2,17.2,17.2,17.2,0.07,58030
01/22/2013,17.13,17.13,17.13,17.13,0.78,68354
01/21/2013,16.35,16.35,16.35,16.35,0.71,75082
01/18/2013,15.64,15.64,15.64,15.64,0.5,65804
01/17/2013,15.14,15.14,15.14,15.14,0.65,73813
01/16/2013,14.49,14.49,14.49,14.49,0.3,53761
01/15/2013,14.19,14.19,14.19,14.19,0,58577
01/14/2013,14.19,14.19,14.19,14.19,0.09,28207
01/11/2013,14.1,14.1,14.1,14.1,0.08,44372
01/10/2013,14.02,14.02,14.02,14.02,0.33,60056
01/09/2013,13.69,13.69,13.69,13.69,0.03,35186
01/08/2013,13.66,13.66,13.66,13.66,0.22,52161
01/07/2013,13.44,13.44,13.44,13.44,0.06,32429
01/04/2013,13.38,13.38,13.38,13.38,0.06,34172
01/03/2013,13.32,13.32,13.32,13.32,0.03,22634
01/02/2013,13.29,13.29,13.29,13.29,-0.02,20313
01/01/2013,13.31,13.31,13.31,13.31,-0.13,31854
12/31/2012,13.44,13.44,13.44,13.44,0.06,17897
12/28/2012,13.38,13.38,13.38,13.38,0.06,30945
12/27/2012,13.32,13.32,13.32,13.32,0.02,24557
12/26/2012,13.3,13.3,13.3,13.3,0.01,19007
12/25/2012,13.29,13.29,13.29,13.29,-0.05,15643
12/24/2012,13.34,13.34,13.34,13.34,-0.11,19563
12/21/2012,13.45,13.45,13.45,13.45,0,31066
12/20/2012,13.45,13.45,13.45,13.45,0.11,41103
12/19/2012,13.34,13.34,13.34,13.34,0.14,47992
12/18/2012,13.2,13.2,13.2,13.2,0.02,29564
12/17/2012,13.18,13.18,13.18,13.18,-0.39,73052
12/14/2012,13.57,13.57,13.57,13.57,-0.05,77912
12/13/2012,13.62,13.62,13.62,13.62,0.05,31078
12/12/2012,13.57,13.57,13.57,13.57,0.1,43792
12/11/2012,13.47,13.47,13.47,13.47,0.11,32269
12/10/2012,13.36,13.36,13.36,13.36,0.04,34637
12/07/2012,13.32,13.32,13.32,13.32,-0.05,42177
12/06/2012,13.37,13.37,13.37,13.37,0.12,53776
12/05/2012,13.25,13.25,13.25,13.25,0.27,35903
12/04/2012,12.98,12.98,12.98,12.98,0.46,72190
12/03/2012,12.52,12.52,12.52,12.52,0.01,35480
11/30/2012,12.51,12.51,12.51,12.51,0.12,29915
11/29/2012,12.39,12.39,12.39,12.39,0.14,33221
11/28/2012,12.25,12.25,12.25,12.25,0.18,37385
11/27/2012,12.07,12.07,12.07,12.07,-0.27,42523
